-83,-77,-79,-68,-86,-75,-65,-79,-79,-79,-88,-87,-87,-94,-81,-71,-79,-82,-70,-94,-87,-56,-89,-68,-82,-78,-72,-80,-79,-79,-80,-73,-80,-62,-84,-86,-69,-82,-92,3
-88,-78,-82,-70,-89,-78,-69,-74,-82,-79,-85,-99,-95,-91,-81,-77,-83,-84,-76,-90,-92,-53,-96,-70,-76,-82,-78,-82,-82,-82,-81,-73,-88,-63,-93,-85,-69,-88,-90,3
-90,-79,-80,-70,-86,-84,-77,-78,-78,-79,-89,-99,-88,-86,-85,-69,-85,-96,-72,-93,-88,-51,-90,-79,-78,-86,-68,-80,-85,-86,-79,-78,-83,-78,-82,-69,-75,-81,-93,3
-90,-78,-77,-67,-88,-82,-68,-75,-88,-77,-89,-90,-90,-91,-84,-74,-87,-83,-83,-93,-90,-49,-91,-75,-75,-77,-69,-77,-77,-77,-77,-73,-78,-68,-82,-73,-78,-82,-86,3
-88,-73,-79,-64,-88,-81,-61,-64,-79,-78,-87,-93,-86,-93,-89,-81,-79,-88,-73,-95,-92,-41,-91,-72,-79,-79,-79,-80,-78,-79,-79,-80,-79,-66,-82,-77,-84,-85,-91,4
-94,-68,-80,-69,-96,-79,-63,-71,-79,-80,-94,-86,-92,-84,-85,-73,-81,-91,-69,-97,-90,-37,-90,-67,-76,-86,-71,-85,-81,-85,-81,-82,-80,-81,-89,-73,-76,-82,-88,4
-88,-73,-79,-64,-88,-81,-61,-64,-79,-78,-87,-93,-86,-93,-89,-81,-79,-88,-73,-95,-92,-41,-91,-72,-79,-79,-79,-80,-78,-79,-79,-80,-79,-66,-82,-77,-84,-85,-91,4
-92,-76,-79,-80,-89,-80,-68,-66,-79,-78,-87,-91,-84,-91,-89,-81,-78,-96,-82,-90,-87,-47,-99,-68,-75,-79,-72,-79,-79,-78,-78,-79,-79,-78,-85,-79,-81,-82,-85,4
-75,-79,-78,-65,-87,-84,-64,-67,-75,-74,-89,-91,-87,-91,-78,-78,-78,-85,-70,-90,-87,-45,-91,-69,-79,-82,-71,-78,-78,-78,-78,-76,-82,-63,-87,-73,-78,-84,-87,4
-92,-76,-79,-80,-89,-80,-68,-66,-79,-78,-87,-91,-84,-91,-89,-81,-78,-96,-82,-90,-87,-47,-99,-68,-75,-79,-72,-79,-79,-78,-78,-79,-79,-78,-85,-79,-81,-82,-85,4
-92,-76,-79,-80,-89,-80,-68,-66,-79,-78,-87,-91,-84,-91,-89,-81,-78,-96,-82,-90,-87,-47,-99,-68,-75,-79,-72,-79,-79,-78,-78,-79,-79,-78,-85,-79,-81,-82,-85,4
-86,-79,-82,-74,-88,-79,-62,-68,-81,-81,-92,-92,-89,-84,-91,-75,-83,-86,-74,-89,-99,-39,-90,-71,-77,-81,-81,-82,-82,-78,-81,-78,-80,-67,-85,-72,-85,-85,-92,4
-92,-76,-79,-80,-89,-80,-68,-66,-79,-78,-87,-91,-84,-91,-89,-81,-78,-96,-82,-90,-87,-47,-99,-68,-75,-79,-72,-79,-79,-78,-78,-79,-79,-78,-85,-79,-81,-82,-85,4
-87,-79,-84,-63,-88,-80,-61,-64,-80,-86,-92,-92,-83,-87,-92,-73,-82,-86,-79,-92,-90,-41,-89,-78,-85,-82,-82,-81,-86,-84,-80,-78,-84,-70,-84,-81,-75,-90,-88,4
-78,-76,-82,-67,-85,-70,-57,-69,-81,-81,-85,-92,-82,-87,-94,-73,-82,-84,-76,-89,-87,-52,-86,-59,-76,-83,-69,-81,-82,-84,-86,-84,-84,-68,-79,-74,-74,-91,-88,5
-75,-77,-81,-68,-85,-70,-66,-77,-81,-81,-86,-87,-87,-89,-80,-78,-80,-83,-79,-86,-94,-62,-81,-61,-75,-81,-74,-82,-88,-81,-79,-76,-81,-65,-84,-74,-81,-88,-86,5
-76,-76,-83,-69,-82,-69,-55,-71,-84,-82,-85,-89,-79,-86,-83,-72,-81,-93,-78,-86,-92,-50,-88,-59,-79,-82,-70,-82,-84,-83,-82,-78,-86,-77,-83,-74,-72,-85,-89,5
-80,-82,-85,-70,-88,-77,-58,-76,-82,-82,-88,-85,-85,-89,-95,-75,-80,-87,-79,-89,-85,-60,-79,-64,-75,-81,-74,-81,-81,-83,-80,-75,-83,-57,-87,-79,-79,-84,-88,5
-79,-84,-79,-76,-89,-83,-57,-62,-81,-82,-86,-85,-83,-86,-97,-75,-76,-83,-77,-90,-88,-51,-82,-58,-73,-80,-71,-77,-77,-76,-80,-76,-81,-77,-86,-83,-79,-88,-86,5
-75,-72,-82,-63,-88,-73,-55,-80,-83,-81,-92,-83,-87,-83,-86,-78,-80,-84,-75,-86,-81,-70,-86,-57,-75,-82,-72,-83,-82,-84,-81,-77,-83,-66,-85,-78,-82,-81,-87,5
-84,-69,-81,-75,-91,-71,-56,-64,-81,-81,-87,-86,-85,-89,-84,-79,-81,-84,-79,-92,-94,-52,-85,-61,-73,-80,-73,-83,-83,-81,-81,-76,-80,-65,-78,-82,-77,-87,-89,5
